,original_filename,page,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10
62,GP_Delimitation_2019_Final-1-400.pdf,8,,9 .,मायला,"1. मायला
2. नागली
3. नासून
4. देवमंगरी
5. मोहनपुरा
6. जैतपुरा
7. मोतीपुरा",मायला,"NIN 1. मायला
2. नागली
3. मोतीपुरा",,,,
63,GP_Delimitation_2019_Final-1-400.pdf,9,10 .,,,देवमंगरी,"1. देवमंगरी
2. नासून
3. केरिया
4. दौलतपुरा
5. मोहनपुरा
6. जैतपुरा",,,,,
64,GP_Delimitation_2019_Final-1-400.pdf,9,11 .,जामोला,"1. जामोला
2. जालिया जामोला
3. आडेडा
4. दौलतपुरा",जामोला,"1. जामोला
2. जालिया जामोला
3. आडेडा",,,,,
65,GP_Delimitation_2019_Final-1-400.pdf,9,12 .,सतावडिया,"1. सतावडिया
2. जालखेडा
3. नयागांव
4. चावण्डिया
5. सथालिया
6. केरिया
7. गणेशमंगरी",सतावडिया,"1. सतावडिया
2. जालखेडा
3. नयागांव
4. चावण्डिया
5. सथालिया
6. गणेशमंगरी",,,,,
66,GP_Delimitation_2019_Final-1-400.pdf,9,13.,रामगढ,"1. रामगढ
2. शिवनगर
3. आकरोल",रामगढ,"1. रामगढ
2. टोपास",,,,,
67,GP_Delimitation_2019_Final-1-400.pdf,9,14 .,देवास,"1. देवास
2. लाडपुरा
3. देदपुरा
4. रीछमाल
5. रेल का बाडिया
6. अमरपुरा
7. रुपाहैली खुर्द",देवास,"1. देवास
2. लाडपुरा
3. देदपुरा
4. रीछमाल
5. रेल का बाडिया",,,,,
68,GP_Delimitation_2019_Final-1-400.pdf,10,15.,"दौलतपुरा
द्वितीय","1. दौलतपुरा ।।
2. केसरपुरा
3. कानपुरा
4. प्रतापपुरा ।।
5. टोपास
6. सूरजपुरा
7. रेनपुरा
8. अमरपुरा",दौलतपुरा द्वितीय,"1. दौलतपुरा ।।
2. केसरपुरा
3. कानपुरा
4. प्रतापपुरा ।।",,,,,
69,GP_Delimitation_2019_Final-1-400.pdf,10,16 .,,,उत्तमी,"1. उत्तमी
2. देबीपुरा
3. सूरजपुरा
4. अमरपुरा",,,,,
70,GP_Delimitation_2019_Final-1-400.pdf,10,17 .,जीवाणा,"1. जीवाणा
2. रतनपुराघाटा
3. बाडिया मैदा
4. शिवपुराघाटा
5. रुपाहैलीकलां",जीवाणा,1. जीवाणा,,,,,
71,GP_Delimitation_2019_Final-1-400.pdf,10,18.,मोयणा,"1. मोयणा
2. रतनगढ़
3. भैरुखेडा
तं
लं
नं
156006
4. सबलपुरा
5. रामपुरा
6. गुढा
7. मानपुरा
8. सारणीया
9. काशीपुरा",मोयणा,"1. मोयणा
2. रतनगढ
3. भैरुखेडा",,,,,
72,GP_Delimitation_2019_Final-1-400.pdf,10,19 .,,,मानपुरा,"1. मानपुरा
2. सबलपुरा
3. रामपुरा
4. गुढा",,,,,
73,GP_Delimitation_2019_Final-1-400.pdf,11,20 .,देवमाली,"1. देवमाली
2. लालावास
3. देवपुरा
4. भगवानपुरा
5. केलू
6. श्योपुरा
7. देवगढ
8. पीथावास",देवमाली,"1. देवमाली
2. लालावास
ज़
A
wN 3 .
4 .
देवपुरा
केलू
5 .
6 .
7. पीथावास
श्योपुरा
देवगढ",,,,,
74,GP_Delimitation_2019_Final-1-400.pdf,11,21 .,शेरगढ,"1. शेरगढ
2. लाम्बा
3. फतेहगढ",शेरगढ,"1. शेरगढ
2. भगवानपुरा
3. लाम्बा
4. फतेहगढ",,,,,
75,GP_Delimitation_2019_Final-1-400.pdf,11,22 .,हनुतिया,"1. हनुतिया
2. गणेशपुरा
3. भैरुखेडा
4 .
5. धानीखेडा
6. देवीपुरा
7. काशीपुरा
8. करणीपुरा
सालरमाला",हनुतिया,"1. हनुतिया
2. गणेशपुरा
3. भैरुखेडा
4. सालरमाला
5. काशीपुरा
6. धानीखेडा",,,,,
76,GP_Delimitation_2019_Final-1-400.pdf,11,23 .,,,शिवनगर,"GAWN
1. शिवनगर
2. आकरोल
3. करणीपुरा
4. देवीपुरा
5. अमरपुरा",,,,,
77,GP_Delimitation_2019_Final-1-400.pdf,11,24 .,,,शिवपुराघाटा,"GAN 1. शिवपुराघाटा
2. बाडिया मैदा
3. रतनपुराघाटा
4. रुपाहैलीकलां
5. रुपाहैली खुर्द
6. रेनपुरा",,,,,
78,GP_Delimitation_2019_Final-1-400.pdf,11,,,पंचायत समिति,- पीसांगन,,,,,,
79,GP_Delimitation_2019_Final-1-400.pdf,11,क्र.सं.,वर्तमान,वर्तमान ग्रा ० प ० में,पुनर्गठित /,पुनर्गठित /,,,,,
80,GP_Delimitation_2019_Final-1-400.pdf,11,,ग्रा ० प ० का,सम्मिलित ग्रामों का,पुनर्सीमांकित / नवसृजित,पुनर्सीमांकित /,,,,,
81,GP_Delimitation_2019_Final-1-400.pdf,12,,नाम,नाम,ग्रा ० प ० का नाम,"नवसृजित ग्रा ० प ० में
ग्रामों का नाम",,,,,
82,GP_Delimitation_2019_Final-1-400.pdf,12,1,2,3,4,5,,,,,
83,GP_Delimitation_2019_Final-1-400.pdf,12,1 .,पगारा,"1. पगारा
2. रामनगर
3. देवनगर
4. रिछमालिया
5. मेवाडिया
6. केसरपुरा",पगारा,"1 . पगारा
2. रामनगर
3. देवनगर
4. रिछमालिया",,,,,
84,GP_Delimitation_2019_Final-1-400.pdf,12,2 .,,,केसरपुरा - मेवाडिया,"1. केसरपुरा
2. मेवाडिया
3. जेतगढ
4. शिवपुरा",,,,,
85,GP_Delimitation_2019_Final-1-400.pdf,12,3.,भटसुरी,"1. भटसुरी
2. नाड़
3. प्रतापपुरा
4. हनुवन्तपुरा
5. बख्तावपुरा
6. जेतगढ",भटसुरी,"1. भटसुरी
2. नाड़
ज़
Aw 3. प्रतापपुरा
4. बख्तावपुरा
5. हनुवन्तपुरा",,,,,
86,GP_Delimitation_2019_Final-1-400.pdf,12,A.,करनोस,"1. करनोस
2. रूपनगर
थोरिया
3. रतनगढ
4. दौलतपुरा
5. धुवाडिया
6. शिवपुरा",करनोस,"1. करनोस -
N 2. रूपनगर
थोरिया
3. रतनगढ
4. दौलतपुरा
5. धुवाडिया",,,,,
